Somersault Kick > Crossfire Somersault (~5800 damage, 3 super art gauge, 0.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Crouching Heavy Kick (~3514 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick (~3513 damage, 2 super art gauge, 6.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Standing Light Kick (~3511 damage, 0 super art gauge, 3.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Standing Light Kick > Medium Sonic Boom > Heavy Somersault Kick (~3508 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick (~3506 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch (~3506 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) (~3506 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick (~3506 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight (~3506 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~3506 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight (~3506 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~3506 damage, 0 super art gauge, 6.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > OD Sonic Boom > Heavy Somersault Kick (~3503 damage, 0 super art gauge, 5.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Double Shot > OD Sonic Boom > Heavy Somersault Kick (~3500 damage, 0 super art gauge, 2.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > OD Sonic Boom > Sonic Break > Sonic Break > Sonic Break > Sonic Break (~3500 damage, 2 super art gauge, 2.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Heavy Somersault Kick (~3496 damage, 2 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Sonic Boom (~3496 damage, 2 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom (~3496 damage, 2 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Standing Light Kick > Medium Sonic Boom (~3489 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Standing Light Kick > Medium Sonic Boom (~3489 damage, 0 super art gauge, 6.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Sonic Hurricane (~3486 damage, 1 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch (~3485 damage, 0 super art gauge, 3.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Crouching Heavy Kick (~3484 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > OD Sonic Boom > Heavy Somersault Kick (~3481 damage, 0 super art gauge, 5.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > OD Sonic Boom > Heavy Somersault Kick (~3480 damage, 0 super art gauge, 5.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick (~3474 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > OD Sonic Boom > Heavy Somersault Kick (~3472 damage, 0 super art gauge, 5.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Crouching Heavy Kick (~3472 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Crouching Heavy Kick (~3472 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick (~3471 damage, 2 super art gauge, 6.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Heavy Somersault Kick (~3467 damage, 0 super art gauge, 3.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > OD Sonic Boom > Heavy Somersault Kick (~3463 damage, 0 super art gauge, 5.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > Somersault Kick (~3462 damage, 2 super art gauge, 6.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Standing Light Kick > Medium Sonic Boom > Heavy Somersault Kick (~3458 damage, 0 super art gauge, 6.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Heavy Somersault Kick (~3457 damage, 0 super art gauge, 3.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Heavy Somersault Kick (~3457 damage, 0 super art gauge, 6.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Sonic Boom (~3457 damage, 0 super art gauge, 6.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom (~3457 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot (~3455 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch (~3455 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot (~3455 damage, 0 super art gauge, 6.0 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Heavy Somersault Kick (~3455 damage, 0 super art gauge, 6.5 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > OD Sonic Boom > Sonic Break > Sonic Break > Sonic Break > Sonic Break (~3454 damage, 2 super art gauge, 5.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Crouching Heavy Kick (~3454 damage, 2 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Heavy Somersault Kick (~3447 damage, 0 super art gauge, 3.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Heavy Somersault Kick (~3446 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick (~3445 damage, 2 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight (~3445 damage, 2 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~3445 damage, 2 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Sonic Hurricane (~3440 damage, 1 super art gauge, 0.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Crouching Heavy Kick (~3440 damage, 0 super art gauge, 0.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > OD Sonic Boom > Heavy Somersault Kick (~3440 damage, 0 super art gauge, 5.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > OD Sonic Boom > Heavy Somersault Kick (~3440 damage, 0 super art gauge, 5.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom (~3438 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (~3438 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) (~3438 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom (~3438 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (~3438 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) (~3438 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Standing Light Kick (~3438 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Standing Light Kick (~3438 damage, 0 super art gauge, 6.0 drive gauge)
Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Sonic Hurricane (~3435 damage, 3 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch (~3434 damage, 0 super art gauge, 3.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) (~3434 damage, 0 super art gauge, 3.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Somersault Kick (~3431 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick (~3430 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > OD Sonic Boom (~3430 damage, 0 super art gauge, 5.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Solid Puncher > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch > Standing Light Kick > Medium Sonic Boom (~3428 damage, 2 super art gauge, 6.0 drive gauge)
Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Heavy Somersault Kick (~3426 damage, 0 super art gauge, 6.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Double Shot > Somersault Kick (~3424 damage, 0 super art gauge, 6.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot > Somersault Kick (~3423 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > OD Sonic Boom (~3421 damage, 0 super art gauge, 5.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > OD Sonic Boom > Heavy Somersault Kick (~3420 damage, 0 super art gauge, 2.0 drive gauge)
Jumping Heavy Kick > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Double Shot (~3417 damage, 0 super art gauge, 3.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Crouching Heavy Kick (~3414 damage, 0 super art gauge, 6.0 drive gauge)
Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick (~3413 damage, 0 super art gauge, 3.0 drive gauge)
Standing Medium Punch (Punish Counter) > Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch (~3412 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Sonic Boom (Perfect) > Crouching Light Punch (~3412 damage, 0 super art gauge, 6.0 drive gauge)
Parry Drive Rush > (After drive rush) Full Bullet Magnum > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Crouching Heavy Kick (~3412 damage, 0 super art gauge, 6.5 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom > Heavy Somersault Kick (~3407 damage, 0 super art gauge, 6.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Sonic Boom (~3407 damage, 0 super art gauge, 6.0 drive gauge)
Standing Heavy Punch > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom (~3407 damage, 0 super art gauge, 6.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Somersault Kick (~3406 damage, 0 super art gauge, 6.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight (~3406 damage, 0 super art gauge, 6.0 drive gauge)
Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Light Sonic Boom (Perfect) > Standing Heavy Kick (~3406 damage, 0 super art gauge, 6.0 drive gauge)
Crouching Medium Punch > Sonic Boom > Burning Straight > Cancel Drive Rush > (After drive rush) Rolling Sobat > Standing Medium Punch > Crouching Medium Punch > Sonic Boom > Burning Straight > Light Sonic Boom > Crouching Heavy Kick (~3404 damage, 0 super art gauge, 3.0 drive gauge)
